Tag,LocatorName,LocatorValue,LocatorType
option,captions-window-color-example-video_component_430-Black,//option[@id='captions-window-color-example-video_component_430-Black'],Xpath
option,captions-window-color-example-video_component_430-White,//option[@id='captions-window-color-example-video_component_430-White'],Xpath
option,captions-window-color-example-video_component_430-Red,//option[@id='captions-window-color-example-video_component_430-Red'],Xpath
option,captions-window-color-example-video_component_430-Green,//option[@id='captions-window-color-example-video_component_430-Green'],Xpath
option,captions-window-color-example-video_component_430-Blue,//option[@id='captions-window-color-example-video_component_430-Blue'],Xpath
option,captions-window-color-example-video_component_430-Yellow,//option[@id='captions-window-color-example-video_component_430-Yellow'],Xpath
option,captions-window-color-example-video_component_430-Magenta,//option[@id='captions-window-color-example-video_component_430-Magenta'],Xpath
option,captions-window-color-example-video_component_430-Cyan,//option[@id='captions-window-color-example-video_component_430-Cyan'],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[3]/span,Xpath
label,captions-window-opacity-example-video_component_430,//label[@id='captions-window-opacity-example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[3]/span/select,Xpath
option,captions-window-opacity-example-video_component_430-Transparent,//option[@id='captions-window-opacity-example-video_component_430-Transparent'],Xpath
option,captions-window-opacity-example-video_component_430-SemiTransparent,//option[@id='captions-window-opacity-example-video_component_430-SemiTransparent'],Xpath
option,captions-window-opacity-example-video_component_430-Opaque,//option[@id='captions-window-opacity-example-video_component_430-Opaque'],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[2],Xpath
fieldset,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[2]/fieldset[1],Xpath
legend,captions-font-size-example-video_component_430,//legend[@id='captions-font-size-example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[2]/fieldset[1]/select,Xpath
option,captions-font-size-example-video_component_430-50,//option[@id='captions-font-size-example-video_component_430-50'],Xpath
option,captions-font-size-example-video_component_430-75,//option[@id='captions-font-size-example-video_component_430-75'],Xpath
option,captions-font-size-example-video_component_430-100,//option[@id='captions-font-size-example-video_component_430-100'],Xpath
option,captions-font-size-example-video_component_430-125,//option[@id='captions-font-size-example-video_component_430-125'],Xpath
option,captions-font-size-example-video_component_430-150,//option[@id='captions-font-size-example-video_component_430-150'],Xpath
option,captions-font-size-example-video_component_430-175,//option[@id='captions-font-size-example-video_component_430-175'],Xpath
option,captions-font-size-example-video_component_430-200,//option[@id='captions-font-size-example-video_component_430-200'],Xpath
option,captions-font-size-example-video_component_430-300,//option[@id='captions-font-size-example-video_component_430-300'],Xpath
option,captions-font-size-example-video_component_430-400,//option[@id='captions-font-size-example-video_component_430-400'],Xpath
fieldset,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[2]/fieldset[2],Xpath
legend,example-video_component_430,//legend[@id='example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[2]/fieldset[2]/select,Xpath
option,example-video_component_430-None,//option[@id='example-video_component_430-None'],Xpath
option,example-video_component_430-Raised,//option[@id='example-video_component_430-Raised'],Xpath
option,example-video_component_430-Depressed,//option[@id='example-video_component_430-Depressed'],Xpath
option,example-video_component_430-Uniform,//option[@id='example-video_component_430-Uniform'],Xpath
option,example-video_component_430-Dropshadow,//option[@id='example-video_component_430-Dropshadow'],Xpath
fieldset,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[2]/fieldset[3],Xpath
legend,captions-font-family-example-video_component_430,//legend[@id='captions-font-family-example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[2]/fieldset[3]/select,Xpath
option,captions-font-family-example-video_component_430-ProportionalSansSerif,//option[@id='captions-font-family-example-video_component_430-ProportionalSansSerif'],Xpath
option,captions-font-family-example-video_component_430-MonospaceSansSerif,//option[@id='captions-font-family-example-video_component_430-MonospaceSansSerif'],Xpath
option,captions-font-family-example-video_component_430-ProportionalSerif,//option[@id='captions-font-family-example-video_component_430-ProportionalSerif'],Xpath
option,captions-font-family-example-video_component_430-MonospaceSerif,//option[@id='captions-font-family-example-video_component_430-MonospaceSerif'],Xpath
option,captions-font-family-example-video_component_430-Casual,//option[@id='captions-font-family-example-video_component_430-Casual'],Xpath
option,captions-font-family-example-video_component_430-Script,//option[@id='captions-font-family-example-video_component_430-Script'],Xpath
option,captions-font-family-example-video_component_430-SmallCaps,//option[@id='captions-font-family-example-video_component_430-SmallCaps'],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[3],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[3]/button[1],Xpath
